Date,5_YR_R,7_YR_R,10_YR_R
11/21/2010,2.180303402,2.254642265,2.716824346
11/28/2010,-0.33020148,-0.527617607,-1.080031989
12/5/2010,0.662501977,0.73390395,0.697903559
12/12/2010,1.237426759,1.848536011,2.208077729
12/19/2010,1.084113484,1.72756819,1.651134063
12/26/2010,-0.491180419,-0.531937886,-1.069321534
1/2/2011,0.09907569,0.116104009,0.151670349
1/9/2011,-0.770977147,-0.622663752,-0.469536048
1/16/2011,-1.138929007,-0.830037158,-0.576640599
1/23/2011,0.605009499,0.85919205,1.32982041
1/30/2011,-0.199885196,-0.065347721,0.430142181
2/6/2011,0.440197728,0.587014454,0.387300361
2/13/2011,2.402607651,2.557061817,1.972447717
2/20/2011,-0.234380683,-0.277041407,-0.426694227
2/27/2011,-2.909697336,-2.847607594,-2.649113662
3/6/2011,-0.441353605,-0.540578445,-0.496312185
3/13/2011,-0.495013251,-0.467133697,-0.576640599
3/20/2011,-0.755645819,-0.726350455,-1.026479713
3/27/2011,0.884806226,0.98448015,0.901402206
4/3/2011,0.884806226,0.656138922,0.365879451
4/10/2011,-0.617663871,-0.5708204,-0.405273317
4/17/2011,-0.203718028,-0.328884759,-0.70516606
4/24/2011,-0.403025286,-0.415290345,-0.935440845
5/1/2011,-1.568206178,-1.141097268,-0.260682173
5/8/2011,-0.786308474,-0.968286096,-0.640903329
5/15/2011,0.608842331,0.310516578,0.387300361
5/22/2011,0.670167641,0.535171102,0.944244026
5/29/2011,-0.127061391,-0.207916939,-0.490956958
6/5/2011,-0.721150332,-0.799795203,-0.303523993
6/12/2011,-0.498846083,-0.601062355,0.071341935
6/19/2011,0.348209763,0.517889985,-0.041117843
6/26/2011,0.394203745,0.414203281,-0.233906035
7/3/2011,0.470860383,0.05129982,-0.169643305
7/10/2011,-0.7173175,-0.428251183,0.06063148
7/17/2011,-1.100600689,-1.145417548,-1.235333588
7/24/2011,-0.050404753,-0.13879247,-0.169643305
7/31/2011,-0.372362631,-0.661546266,-0.897954252
8/7/2011,-0.816971129,-1.395993747,-2.290313416
8/14/2011,-1.261579628,-2.609992232,-3.00255868
8/21/2011,0.4248664,0.327797695,0.199867397
8/28/2011,0.654836313,0.811668977,0.987085847
9/4/2011,-0.510344579,-0.363446994,0.157025576
9/11/2011,-0.245879179,-0.553539283,-1.238903739
9/18/2011,0.467027551,0.517889985,0.813933489
9/25/2011,0.041583212,-0.328884759,-0.646258557
10/2/2011,1.237426759,1.381945846,1.029927667
10/9/2011,-0.035073426,-0.017824649,-0.448115137
10/16/2011,0.451696223,0.863512329,1.651134063
10/23/2011,-0.9817829,-0.76091269,-0.341010586
10/30/2011,-0.755645819,-0.726350455,-0.448115137
11/6/2011,-1.828838746,-1.849623074,-2.231405913
11/13/2011,-0.188386701,-0.143112749,-0.319589676
11/20/2011,1.60537862,1.438109477,0.971020164
11/27/2011,0.685498968,0.396922164,0.023144887
12/4/2011,-0.694320509,-0.432571462,-0.105380574
12/11/2011,-0.219049356,-0.398009228,-0.212485125
12/18/2011,0.394203745,0.206829875,-0.448115137
12/25/2011,-0.096398736,-0.25976029,-0.512377868
1/1/2012,0.401869409,0.383961326,0.296261492
1/8/2012,-0.770977147,-0.562179842,-0.319589676
1/15/2012,-0.28804033,-0.255440011,-0.292813538
1/22/2012,-0.199885196,-0.069668001,0.073127011
1/29/2012,-0.820803961,-0.639944869,0.144530045
2/5/2012,-1.215585645,-1.434876261,-1.840474301
2/12/2012,0.409535073,0.569733336,0.472984002
2/19/2012,0.087577195,0.154986523,-0.276747856
2/26/2012,-0.245879179,0.116104009,-0.276747856
3/4/2012,-0.115562895,-0.082628839,-0.062538754
3/11/2012,0.11823985,0.17226764,0.644351283
3/18/2012,0.409535073,0.500608867,0.858560386
3/25/2012,0.946131536,0.880793446,0.730034924
4/1/2012,-0.234380683,-0.225198056,-0.426694227
4/8/2012,0.11823985,0.120424289,0.108828528
4/15/2012,-0.495013251,-0.899161627,-1.369214277
4/22/2012,-0.265043338,-0.467133697,-0.212485125
4/29/2012,-0.970284405,-1.106535034,-0.233906035
5/6/2012,-0.219049356,-0.121511352,-0.191064215
5/13/2012,0.286884453,0.103143171,0.173091259
5/20/2012,0.148902505,-0.207916939,-0.876533342
5/27/2012,0.654836313,0.327797695,-0.405273317
6/3/2012,0.263887461,-0.169034425,-0.935440845
6/10/2012,-0.073401744,-0.212237218,-0.474891275
6/17/2012,-0.495013251,-0.242479173,0.173091259
6/24/2012,0.010920557,0.068580937,0.130249438
7/1/2012,0.992125519,0.742544509,0.34445854
7/8/2012,-0.954953077,-0.726350455,-0.458825593
7/15/2012,-0.433687941,-0.553539283,-0.801560156
7/22/2012,-0.280374666,-0.398009228,-0.405273317
7/29/2012,0.317547108,0.034018703,-0.448115137
8/5/2012,-0.525675906,-0.346165876,-0.105380574
8/12/2012,-0.00441077,0.189548758,0.494404912
8/19/2012,0.731492951,1.001761267,1.522608602
8/26/2012,-0.280374666,-0.328884759,-0.512377868
9/2/2012,-1.077603697,-1.19294062,-1.326372456
9/9/2012,-0.537174402,-0.506016211,-0.169643305
9/16/2012,-1.142761839,-0.9466847,-0.212485125
9/23/2012,-0.111730063,0.034018703,-0.383852407
9/30/2012,0.332878435,-0.069668001,-0.341010586
10/7/2012,-0.648326527,-0.622663752,-0.70516606
10/14/2012,0.129738345,0.241392109,0.365879451
10/21/2012,0.643337817,0.759825626,0.944244026
10/28/2012,0.792818261,0.638857805,0.194512169
11/4/2012,-0.242046347,-0.471453976,-0.731942198
11/11/2012,-0.073401744,-0.048066604,-0.399918089
11/18/2012,0.007087725,-0.104230235,-0.266037401
11/25/2012,0.148902505,0.388281606,0.831784248
12/2/2012,0.030084716,-0.078308559,-0.217840353
12/9/2012,-0.556338561,-0.674507103,-0.919375162
12/16/2012,0.072245867,0.275954344,0.537246732
12/23/2012,0.48619171,0.725263391,1.158453128
12/30/2012,0.041583212,-0.078308559,-0.308879221
1/6/2013,0.187230824,0.453085795,1.28697859
1/13/2013,-0.364696967,-0.220877776,-0.24461649
